legislator,volunteer,date,typeOfContact,notes,support,state
Melissa Rooker,Patty Quinlan,1/27/2010,Left voicemail,Left Message,N/A,KS
John Wilson,Patty Quinlan,1/27/2017,Left voicemail,Left Message,N/A,KS
Kristy Williams,Patty Quinlan,1/27/2017,Left voicemail,"""Julie"" returned call late that afternoon, per instructions I called 01/30/2017. Not as receptive; encouraged I call my district. I shared I have and they are supportive. Julie agreed to share my request to talk to Rep Williams.",N/A,KS
Trevor Jacobs,Patty Quinlan,1/27/2017,Left voicemail,Left Message (phone # 785-296-7616),N/A,KS
Michael Houser,Patty Quinlan,1/27/2017,Left voicemail,"Support Staff called back that afternoon. I called 01/30/2017 per instructions. She will have Rep Houser call me, apologetic he has not had the time.",N/A,KS
Susan Humphries,Courtney,1/30/2017,Emailed legislator,"Susan Humphries emailed and asked me to tell her more about myself. Not sure why, but I did that. ",2 - Not Confirmed,KS
Jim Kelley,Patty Quinlan,2/9/2017,Emailed legislator,"Sent email to Rep Kelley per staff ""Anne"" request at Anne.sawyer@house.ks.gov",N/A,KS
Steven Becker,Patty Quinlan,2/9/2017,Phone call with staff,"Rep Becker is to call me. Spoke to staff ""Rose"".",N/A,KS
Jack Timesch,Patty Quinlan,2/9/2017,Phone call with staff,"Staff ""Lisa"" took notes and phone number. ",N/A,KS
Don Hineman,Patty Quinlan,2/9/2017,Phone call with staff,"Staff ""Diane"" will ask Rep Hineman to call me.",N/A,KS
Barbara Ballard,Patty Quinlan,2/9/2017,Emailed legislator,"Per staff ""Bonnie"" sent an email.",N/A,KS
John Alcala,Patty Quinlan,2/9/2017,Phone call with staff,Staff took notes and will pass on to Rep Alcala.,N/A,KS
Gail Finney,Patty Quinlan,2/9/2017,Emailed legislator,"Email sent per staff ""Anne"" instructions. Not sure if ""you got it"" with exuberance was about passing the message along or the topic I was calling about.
Hopeful...",N/A,KS
Susan Humphries,Courtney,1/30/2017,Emailed legislator,"Rep Humphries ignored my information about our goal and instead asked me to email her information about myself. So I did, and she has yet to respond. ",2 - Not Confirmed,KS
Jarrod Ousley,Courtney,4/8/2017,Met Legislator,"Met Rep Ousley at a local democratic meeting. Spoke to him briefly, and he immediately tried to shut the conversation off repeatedly saying that a convention is a ""slippery slope"" but would not give me any specifics about his stance even when asked. He recommended I reach out to Kevin Yoder, because he believes this should be a federal issue. ",3 - Unsupportive,KS
Dan Kerschen,Bryant,1/6/2017,Left voicemail,Left Voicemail at the Senators home phone and capitol phone to try and speak about the resolution and when to introduce it,1 - Supportive,KS
Sen. Kerschen,Bryant,1/6/2017,Emailed legislator,testing,1 - Supportive,KS
Bruce Givens,Jeffrey,1/15/2017,Emailed legislator,no response,N/A,KS
Bruce Givens,Devin,1/20/2017,Phone call with staff,"The Legislative Assistant, Linda, got Wolf-PAC confused with the group TakeAction who supposedly went to the capitol and met with the Senator. She said to email him using his sentate.gov email and that she would let him know that I called. She said most likely if he doesn't respond he will print out the email and put it in a folder so that if it were to get called to the floor for a vote he would reference the folder.",N/A,KS
Jeff Longbine,Devin,1/20/2017,Emailed legislator,785 number didn't have a voicemail. The other had a generic voicemail so I didn't feel like leaving one. Sent email,N/A,KS
Ty Masterson,Devin,1/20/2017,VM and email,Left voicemail and emailed the Senator,N/A,KS
Robert Olson,Rob Olson,1/20/2017,Phone call with Legislator,He says he wants to look it over before giving any opinion of support. He asked who was going to introduce the resolution and I said Dan Kerschen so he said he would take a look at the email and would probably speak with Dan about it on Monday. Might be worth following-up late next week.,2 - Not Confirmed,KS
Lynn Rogers,Devin,1/20/2017,Phone call with Legislator,Lynn stated that he is concerned about money in our political system. He says he wants to look over the resolution before he will state anything about his support. I told him about Dan Kerschen and he says he is a co-chair with him on the Ag Committee so they are familiar with each other. I sent him an email with the resolution. Probably wouldn't hurt to follow-up with him late next week.,2 - Not Confirmed,KS
Caryn Tyson,Devin,1/20/2017,Phone call with staff,Legislative Assistant stated that the Senator and Dan Kerschen speak on a regular basis and that she most assuredly would be speaking with him about this resolution. It might not hurt to follow-up with her sometime late next week.,2 - Not Confirmed,KS
Bruce Givens,Catherine Fisher,1/22/2017,Left voicemail,I said that I was with the wolf Pack group and I would like to hear what Sen Givens opinion was able money in politics and I said we want to have an article 5 convention called. ,N/A,KS
Pat Pettey,Catherine Fisher,1/22/2017,Left voicemail,I sent an email as well as made a call to her office. ,N/A,KS
Bruce Givens,jeffrey,1/23/2017,talked to secretary,left my contact info with secretary and gave them sponsors name,N/A,KS
Robert Olsen,Jeffrey,1/23/2017,Phone call with staff,GET SOMEONE FROM DISTRICT 23 TO TALK TO THIS MAN FACE TO FACE!!! ,N/A,KS
Lynn Rogers,Jeffrey,1/23/2017,Phone call with staff,Left number with secretary. She said she will pass it on,N/A,KS
Caryn Tyson,Jeffrey,1/23/2017,Phone call with staff,Gave my number to secretary. secretary sounded super bored ,N/A,KS
Bruce Givens,Courtney,1/23/2017,Emailed legislator,"Bruce Givens emailed me to say ""I support the concept and idea"" behind our resolution. I asked him if this bill would have his vote if it were to come before his committee. His response was ""I don't see why I wouldn't, but sometimes the devil is in the details"". I let him know that I would be happy to answer any future questions or concerns he may have about the resolution.",1 - Supportive,KS
Lynn Rogers,Courtney,1/10/2017,Emailed legislator,"Left VM, sent email",N/A,KS
Caryn Tyson,Courtney,1/10/2017,Emailed legislator,"Left VM, sent email",N/A,KS
Ty Masterson,Courtney,1/10/2017,Emailed legislator,"Left VM, sent email",N/A,KS
Jeff Longbine,Courtney,1/10/2017,Emailed legislator,Sent email,N/A,KS
Robert Olson,Courtney,1/10/2017,Emailed legislator,"Left VM, sent email",N/A,KS
Pat Pettey,Catherine Fisher,1/23/2017,Left voicemail,I said that I was with Wolf Pac and I want to discuss Big Money in Politics and I gave my contact info.,N/A,KS
Sen Givens,Catherine Fisher,1/23/2017,Left voicemail,I left a voicemail outlining that I was with Wolf-Pac and I want to know what Givens thought about Big Money in Politics. I also left my contact information.,N/A,KS
Pet Pettey,Catherine Fisher,1/24/2017,Emailed legislator,"I played phone tag with one of Pettey's staff, eventually I was able to talk to the staff member and pass on an outline of what I want to talk to Pat Pettey about. I also sent our resolution to Pat Pettey's email address as instructed by the staff member. Hopefully I will hear something soon",N/A,KS
Senator Jeff Longbine,Catherine Fisher,1/24/2017,Left voicemail,The only way I got ahold of the Senator's mailbox is through his car dealership. But I left my information and a brief description of what we want.,N/A,KS
Pat Pettey,Catherine Fisher,1/24/2017,Emailed legislator,After I made contact with Senator Pat Pettey via email and sent here our resolution she said 'I will look it over I support the voting item but not the convention.' I will need to see if I can convince her otherwise.,2 - Not Confirmed,KS
Dennis Pyle,Patty Quinlan,2/2/2017,Emailed legislator,"""Jaimie"" shared Sen Pyle ""is really, really busy"". We settled that and email would be best. I sent this today.",N/A,KS
Dennis Pyle,Patty Quinlan,2/2/2017,Emailed legislator,"""Jaimie"" shared Sen Pyle ""is really, really busy"". We settled that and email would be best. I sent this today.",N/A,KS
Julie Lynn,Patty Quinlan,2/2/2017,Emailed legislator,"""Ken"" very nice and encouraged an email. I sent one today.",N/A,KS
Carolyn McGuinn,Patty Quinlan,2/2/2017,Phone call with staff,"""Daniella"" stated Sen McGuinn ""overwhelmed and on the Ways & Mean Committee"". I didn't get further with her. ",N/A,KS
Tom Holland,Patty Quinlan,2/2/2017,Emailed legislator,"""Mary Lou"" requested an email with the ""focus"" to marylou.davis@senate.ks.gov.
Email sent.",N/A,KS
Dennis Pyle,jeffre,2/6/2017,Left voicemail,vm,,KS
Julia Lynn,Jeffrey Penland,2/6/2017,Phone call with staff,left my deets,,KS
Tom Holland,jeffrey,2/6/2017,Phone call with staff,has introduced similar res in past ,,KS
David HAley,Jeffrey,2/6/2017,Emailed legislator,ca;;ed told me to email,,KS
Pat Pettey,Courtney,4/8/2017,Met Legislator,"Met Senator Pettey at a local democratic event. When I mentioned our goal, the only answer she would give me is ""I would not support that at this time"", and would not give any details as to why when asked. ",3 - Unsupportive,KS
Bruce Givens,Jeffrey Penland,11/8/2017,Emailed legislator,back and forth still happening,2 - Not Confirmed,KS
Kelly Flood,Travis Combs,12/21/2016,Phone call with Legislator,She expressed support for our mission and said that she would support such a bill but would not be the primary sponsor of it since she said she spends her political energy on other issues. In conclusion I'd say she is supportive,1 - Supportive,KY
John Sims Jr.,Kimmie Ishmael,2/15/2017,Met Legislator,He said he was willing to introduce and very supportive.,1 - Supportive,KY
Stan Lee,Kimmie Ishmael,2/1/2017,Left voicemail,"Did not answer or return my call, though I left a voicemail.",2 - Not Confirmed,KY
Jerry Miller,Bryan Colburn,2/17/2017,Phone call with Legislator,"Left a message with Jerry's secretary. He personally returned my call a few evening's later. I explained what we were trying to do with Wolf-PAC and our Resolution to Restore Free and Fair Elections. Sounded interested but wanted me to email him more information. I do not have materials to email to Jerry, but we are actively discussing coming up with a template email with links to Wolf-PAC.com, and maybe a couple of the official, non-partisan studies that have been done regarding public opinion effect, or rather lack thereof, on policy, and the effects of money in our political system.",2 - Not Confirmed,KY
Mary Lou Marzian,Stepheni Wil,1/10/2017,Phone call with Legislator,"Rep. Marzian was positive about our proposal. However, she tempered it with a belief that this effort would be an uphill slog. She said she would sponsor the resolution but thought it best that a republican do so. Per John Poole, I sent her the copy of the resolution. I would like to meet with her after the session this year to build a relationship with her.",1 - Supportive,KY
Phil Moffett,Michele Sutherland,4/14/2017,Emailed legislator,Meeting Request,,KY
Bart Rowland,John Brittain,5/10/2017,Phone call with staff,Left a message to call me back. Used bullet points 101 greeting script. Amy will have Mr. Rowland call me back.,2 - Not Confirmed,KY
Bart Rowland,John Brittain,5/10/2017,Emailed legislator,"Follow-up, canned email to phone message today, containing web addresses to the resolution, and flyer.",2 - Not Confirmed,KY
Jim Wayne,Chris Smith,5/12/2017,Phone call with Legislator,"Contacted Zachary via Jim Wayne's capitol extension, left name and number to return call. 

EDIT : Jim contacted me not even ten minutes after calling his extension and is showing full support for our cause! Already has done the same for Louisville League Of Women Voters who are working towards the same goal we are, thanked me for reaching out on the issue and wants to assist in whatever ways possible!",1 - Supportive,KY
Bart Rowland,John Brittain,5/24/2017,Phone call with staff,Spoke with Amy (Gatekeeper) and left a msg. for Rep. Rowland to call me. Reminded that I had sent an email packet.,2 - Not Confirmed,KY
Bart Rowland,John Brittain,5/24/2017,Emailed legislator,Sent a followup email to remind Representative Rowland of the email packet that I sent to him on 5/10/2017.,2 - Not Confirmed,KY
McKenzie Cantrell,Chris Smith,6/5/2017,Phone call with staff,Left message with receptionist. ,N/A,KY
"Dan ""Malano"" Seum",Chris Smith,6/5/2017,Call,Wasn't able to reach or leave voicemail. ,N/A,KY
Bart Rowland,John Brittain,6/6/2017,Emailed legislator,Emailed Rep.,2 - Not Confirmed,KY
McKenzie Cantrell,Chris Smith,6/5/2017,Phone call with staff,Left message with receptionist. ,N/A,KY
McKenzie Cantrell ,Chris Smith ,6/6/2017,Phone call with Legislator,"McKenzie called back today after having left a message with receptionist Kim, seemed interested but expressed concerns about a runaway convention and had mentioned dealing with con cons before, seems eager to be informed on the issue and potentially setting up a meeting in the future. ",2 - Not Confirmed,KY
Mary Lou Marzian,Stepheni Wilson,5/15/2017,Phone call with staff,I left a message asking to meet with Rep. Marzian.,,KY
Mary Lou Marzian,Stepheni Wilson,5/28/2017,Phone call with Legislator,Rep. Marzian called to set up a meeting with me.,,KY
Mary Lou Marzian,Stepheni Wilson,5/29/2017,Met Legislator,Rep. Marzian is fully supportive of our resolution.,1 - Supportive,KY
Tom Burch,Stepheni Wilson,6/26/2017,Phone call with Legislator,He is enthusiastically in favor of our resolution and is will to co-sponsor it.,1 - Supportive,KY
Kim King,Harry Fogler III,6/27/2017,Left message,Staff indicated that Rep. King would contact me in the next few days.,2 - Not Confirmed,KY
Daniel Elliott,Harry Fogler III,6/28/2017,Met Legislator,"Met with Rep. Elliott in court. (We're lawyers often practicing in the same courts). Discussed the idea of an Article 5 Convention. Gave him a copy of the draft resolution. He indicated he'd be supportive but wouldn't want to be a sponsor at this time. Suggested that it's the sort of bill that should be brought by multiple legislators. Suggested that I speak with my legislators as well as Democrat Russ Meyer, District 39, Nicholasville. ",1 - Supportive,KY
